tag,mode,fov,enhance,true_fov,infer_fov_h,infer_fov_w,align_pct
tangent_fov40_none,tangent,40.0,none,40.0,39.41,39.22,19.97
tangent_fov60_none,tangent,60.0,none,60.0,60.29,60.28,24.18
tangent_fov80_none,tangent,80.0,none,80.0,74.89,74.95,26.62
tangent_fov100_none,tangent,100.0,none,100.0,99.88,100.11,22.84
tangent_fov110_none,tangent,110.0,none,110.0,105.43,105.44,20.24
tangent_fov120_none,tangent,120.0,none,120.0,108.56,108.32,16.15
raw_roi_fov40_none,raw_roi,40.0,none,40.0,38.20,38.05,19.18
raw_roi_fov60_none,raw_roi,60.0,none,60.0,54.74,54.69,21.40
raw_roi_fov80_none,raw_roi,80.0,none,80.0,67.10,67.21,22.62
raw_roi_fov100_none,raw_roi,100.0,none,100.0,76.20,76.60,22.13
raw_roi_fov110_none,raw_roi,110.0,none,110.0,85.90,86.18,23.05
raw_roi_fov120_none,raw_roi,120.0,none,120.0,88.72,88.84,20.61
rectifier_fovrect_none,rectifier,None,none,84.54737801218748,84.21,84.25,26.69
