tag,mode,fov,enhance,true_fov,infer_fov_h,infer_fov_w,align_pct
tangent_fov40_none,tangent,40.0,none,40.0,38.88,38.73,21.03
tangent_fov60_none,tangent,60.0,none,60.0,59.66,59.95,19.60
tangent_fov80_none,tangent,80.0,none,80.0,74.68,75.09,23.87
tangent_fov100_none,tangent,100.0,none,100.0,98.64,98.91,27.06
tangent_fov110_none,tangent,110.0,none,110.0,104.59,104.66,25.28
tangent_fov120_none,tangent,120.0,none,120.0,106.03,105.95,22.63
raw_roi_fov40_none,raw_roi,40.0,none,40.0,37.78,37.66,19.23
raw_roi_fov60_none,raw_roi,60.0,none,60.0,54.02,54.06,16.25
raw_roi_fov80_none,raw_roi,80.0,none,80.0,67.27,67.42,19.30
raw_roi_fov100_none,raw_roi,100.0,none,100.0,80.29,80.54,18.80
raw_roi_fov110_none,raw_roi,110.0,none,110.0,87.45,87.71,18.95
raw_roi_fov120_none,raw_roi,120.0,none,120.0,89.55,89.71,19.03
rectifier_fovrect_none,rectifier,None,none,84.54737801218748,82.29,82.62,27.41
