digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,gt_median,gt_std,gt_spread,pen
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,300,4938,0.093400,0.066299,0.513499,0.172783,0.042023,0.909576,0.967150,0.984511,0.980852,3.135379,2.954797,0.640788,0.287607,1.8095
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,300,16010,0.094811,0.064969,0.520207,0.178892,0.042404,0.911519,0.968975,0.985293,0.978813,3.074828,2.792758,1.014439,0.597307,1.8095
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,300,29929,0.097815,0.058657,0.476169,0.188268,0.043040,0.910748,0.968264,0.984494,0.981075,3.010834,2.586297,1.170639,0.709415,1.8095
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,300,47583,0.111300,0.062709,0.461428,0.213840,0.048559,0.888480,0.958694,0.980170,0.979172,2.923894,2.289225,1.211798,0.811745,1.8095
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,300,67828,0.134718,0.069608,0.449623,0.265136,0.060424,0.850313,0.939409,0.971254,0.964355,2.776657,1.929725,1.171937,0.905390,1.8095
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,300,36246,0.169008,0.089983,0.482642,0.335252,0.078007,0.797694,0.922555,0.957280,0.942348,2.637967,1.644695,1.088812,0.984485,1.8095
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,rect,theta,0-10,0.0,10.0,,300,7916,0.073516,0.046880,0.431858,0.145920,0.032995,0.947717,0.975098,0.988156,0.964047,3.080312,2.956417,0.639849,0.286065,1.5431
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,rect,theta,10-20,10.0,20.0,,300,25837,0.074824,0.047485,0.445653,0.145380,0.033120,0.940528,0.975588,0.989359,0.965859,3.064493,2.792892,1.014755,0.597736,1.5431
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,rect,theta,20-30,20.0,30.0,,300,51155,0.073923,0.038011,0.386110,0.137755,0.031905,0.945051,0.978690,0.991267,0.968576,3.040113,2.584882,1.171168,0.709956,1.5431
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,rect,theta,30-40,30.0,40.0,,300,94542,0.081818,0.037983,0.360068,0.157275,0.035058,0.929612,0.971873,0.988094,0.974454,3.021435,2.282202,1.211766,0.814229,1.5431
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,rect,theta,40-50,40.0,50.0,,300,85817,0.088202,0.040320,0.374642,0.200101,0.040449,0.906998,0.961825,0.983726,0.991582,3.030002,1.979888,1.173882,0.897575,1.5431
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,rect,theta,50-55,50.0,55.0,,300,2940,0.113440,0.052895,0.400903,0.274507,0.056797,0.841569,0.931712,0.970013,1.040213,3.136300,2.012458,1.050907,0.734966,1.5431
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,fisheye,theta,0-10,0.0,10.0,,300,4938,0.084319,0.052579,0.448221,0.143006,0.036793,0.937250,0.980521,0.992018,0.979126,3.218042,2.954797,0.640788,0.287607,1.9061
