tag,mode,fov,enhance,true_fov,infer_fov_h,infer_fov_w,align_pct
tangent_fov40_none,tangent,40.0,none,40.0,39.05,39.02,23.20
tangent_fov60_none,tangent,60.0,none,60.0,60.49,60.61,23.22
tangent_fov80_none,tangent,80.0,none,80.0,77.06,77.06,25.48
tangent_fov100_none,tangent,100.0,none,100.0,100.46,100.70,30.06
tangent_fov110_none,tangent,110.0,none,110.0,105.33,105.34,25.49
tangent_fov120_none,tangent,120.0,none,120.0,107.36,107.28,23.53
raw_roi_fov40_none,raw_roi,40.0,none,40.0,37.85,37.82,22.11
raw_roi_fov60_none,raw_roi,60.0,none,60.0,56.49,56.71,21.04
raw_roi_fov80_none,raw_roi,80.0,none,80.0,67.64,67.78,24.12
raw_roi_fov100_none,raw_roi,100.0,none,100.0,78.17,78.50,23.56
raw_roi_fov110_none,raw_roi,110.0,none,110.0,86.72,87.03,22.95
raw_roi_fov120_none,raw_roi,120.0,none,120.0,90.10,90.16,24.81
rectifier_fovrect_none,rectifier,None,none,84.54737801218748,86.57,86.33,32.41
