tiling,n_patches,patch_fov,scale_spread_pct,disp_deg,align_pct,AbsRel,delta1
1,1,100.00,0.00,2.2909,24.68,0.0489,0.9714
2,4,79.67,0.76,3.2924,16.88,0.0981,0.9398
3,9,58.16,2.25,3.3504,16.28,0.1181,0.8875
4,16,45.28,2.99,3.1693,17.60,0.1161,0.8685
