digest,model,family,size,params_m,align,input_size,dataset,baseline,context,context_stride,AbsRel,delta1,delta2,RMSE,log10,coverage,gt_median,n_frames,n_points_total
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,aea,raw,1.000000,1.000000,0.198587,0.761151,0.901897,0.726794,0.079310,1.000000,1.402200,200.000000,724894.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,aea,raw,3.000000,1.000000,0.209510,0.739632,0.899048,0.735068,0.083732,1.000000,1.402200,200.000000,724894.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,aea,raw,5.000000,1.000000,0.213378,0.732734,0.899691,0.736571,0.085362,1.000000,1.402200,200.000000,724894.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,aea,raw,10.000000,1.000000,0.220433,0.717083,0.893127,0.742708,0.088234,1.000000,1.402200,200.000000,724894.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,aea,rect_derect,1.000000,1.000000,0.157655,0.833731,0.923897,0.685833,0.063028,0.987502,1.402200,200.000000,724894.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,aea,rect_derect,3.000000,1.000000,0.160160,0.828168,0.922062,0.687972,0.064475,0.987502,1.402200,200.000000,724894.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,aea,rect_derect,5.000000,1.000000,0.161128,0.826087,0.923343,0.689674,0.064813,0.987502,1.402200,200.000000,724894.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,aea,rect_derect,10.000000,1.000000,0.161229,0.823473,0.922697,0.689024,0.064875,0.987502,1.402200,200.000000,724894.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,nymeria,raw,1.000000,1.000000,0.143927,0.826949,0.937412,0.500793,0.063204,1.000000,1.576302,200.000000,587563.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,nymeria,raw,3.000000,1.000000,0.156298,0.808779,0.926758,0.509653,0.068721,1.000000,1.576302,200.000000,587563.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,nymeria,raw,5.000000,1.000000,0.160732,0.800033,0.922656,0.514938,0.070638,1.000000,1.576302,200.000000,587563.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,nymeria,raw,10.000000,1.000000,0.167117,0.785031,0.920391,0.521828,0.072799,1.000000,1.576302,200.000000,587563.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,nymeria,rect_derect,1.000000,1.000000,0.131276,0.863767,0.949196,0.502764,0.052869,0.989563,1.576302,200.000000,587563.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,nymeria,rect_derect,3.000000,1.000000,0.133652,0.858474,0.947649,0.503795,0.054611,0.989563,1.576302,200.000000,587563.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,nymeria,rect_derect,5.000000,1.000000,0.133059,0.856842,0.947515,0.503819,0.054803,0.989563,1.576302,200.000000,587563.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,nymeria,rect_derect,10.000000,1.000000,0.134720,0.857298,0.947194,0.505655,0.055508,0.989563,1.576302,200.000000,587563.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,aea,raw,1.000000,1.000000,0.151266,0.846247,0.938134,0.662258,0.060562,1.000000,1.402214,200.000000,724887.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,aea,raw,3.000000,1.000000,0.151324,0.845222,0.937767,0.663774,0.060627,1.000000,1.402214,200.000000,724887.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,aea,raw,5.000000,1.000000,0.152877,0.841425,0.937755,0.665770,0.061312,1.000000,1.402214,200.000000,724887.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,aea,raw,10.000000,1.000000,0.153145,0.839223,0.937451,0.666562,0.061582,1.000000,1.402214,200.000000,724887.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,aea,rect_derect,1.000000,1.000000,0.148061,0.855419,0.933103,0.666567,0.057494,0.987492,1.402214,200.000000,724887.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,aea,rect_derect,3.000000,1.000000,0.145683,0.858223,0.934216,0.666119,0.056546,0.987492,1.402214,200.000000,724887.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,aea,rect_derect,5.000000,1.000000,0.144853,0.859587,0.933675,0.665962,0.056253,0.987492,1.402214,200.000000,724887.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,aea,rect_derect,10.000000,1.000000,0.142926,0.863287,0.934845,0.666341,0.055436,0.987492,1.402214,200.000000,724887.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,nymeria,raw,1.000000,1.000000,0.120623,0.883548,0.961391,0.466891,0.049089,1.000000,1.576315,200.000000,587559.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,nymeria,raw,3.000000,1.000000,0.118930,0.886969,0.964296,0.466278,0.048463,1.000000,1.576315,200.000000,587559.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,nymeria,raw,5.000000,1.000000,0.119899,0.885210,0.964280,0.467096,0.048946,1.000000,1.576315,200.000000,587559.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,nymeria,raw,10.000000,1.000000,0.122440,0.879804,0.963861,0.468726,0.050081,1.000000,1.576315,200.000000,587559.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,nymeria,rect_derect,1.000000,1.000000,0.125433,0.870211,0.957273,0.485158,0.049819,0.989554,1.576315,200.000000,587559.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,nymeria,rect_derect,3.000000,1.000000,0.123206,0.876728,0.958709,0.483952,0.048861,0.989554,1.576315,200.000000,587559.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,nymeria,rect_derect,5.000000,1.000000,0.122443,0.879118,0.958434,0.484908,0.048594,0.989554,1.576315,200.000000,587559.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,nymeria,rect_derect,10.000000,1.000000,0.121167,0.881529,0.958663,0.483589,0.048037,0.989554,1.576315,200.000000,587559.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,aea,raw,1.000000,1.000000,0.239628,0.688400,0.877604,0.756025,0.091896,1.000000,1.402200,200.000000,724894.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,aea,raw,3.000000,1.000000,0.252331,0.681957,0.862895,0.760004,0.096526,1.000000,1.402200,200.000000,724894.000000
