digest,model,family,size,params_m,align,input_size,dataset,baseline,context,context_stride,AbsRel,delta1,delta2,RMSE,log10,coverage,gt_median,n_frames,n_points_total
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,aea,raw,1.000000,1.000000,0.198591,0.763619,0.901809,0.732997,0.079110,1.000000,1.416254,200.000000,709768.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,aea,vggt360,1.000000,1.000000,0.188603,0.790433,0.907525,0.722807,0.075575,0.966159,1.416254,200.000000,709768.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,nymeria,raw,1.000000,1.000000,0.143292,0.828176,0.937592,0.501181,0.062731,1.000000,1.587278,200.000000,577921.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,nymeria,vggt360,1.000000,1.000000,0.150491,0.830457,0.930580,0.514041,0.061915,0.971558,1.587278,200.000000,577921.000000
