digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,gt_median,gt_std,gt_spread,pen
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,300,4938,0.088393,0.058072,0.493432,0.171087,0.040828,0.917342,0.972140,0.985770,0.987717,3.318116,2.954797,0.640788,0.287607,1.9162
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,300,16010,0.089088,0.060675,0.522649,0.170398,0.040678,0.918769,0.971660,0.987444,0.985085,3.275586,2.792758,1.014439,0.597307,1.9162
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,300,29929,0.092891,0.058236,0.499218,0.184306,0.041666,0.915303,0.970159,0.985995,0.986153,3.215285,2.586297,1.170639,0.709415,1.9162
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,300,47583,0.106848,0.061780,0.475242,0.206030,0.046957,0.888543,0.962110,0.982832,0.982124,3.120430,2.289225,1.211798,0.811745,1.9162
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,300,67828,0.132861,0.071217,0.452604,0.250413,0.058414,0.857552,0.944445,0.974850,0.961690,2.957652,1.929725,1.171937,0.905390,1.9162
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,300,36246,0.169376,0.090981,0.471854,0.316691,0.075925,0.807746,0.926568,0.961934,0.935829,2.816893,1.644695,1.088812,0.984485,1.9162
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,0-10,0.0,10.0,,300,7916,0.065410,0.040824,0.416535,0.139594,0.030219,0.951543,0.977527,0.988788,0.971411,3.198788,2.956417,0.639849,0.286065,1.6835
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,10-20,10.0,20.0,,300,25837,0.067053,0.041973,0.433015,0.137752,0.030411,0.948122,0.978045,0.990063,0.971259,3.184159,2.792892,1.014755,0.597736,1.6835
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,20-30,20.0,30.0,,300,51155,0.067729,0.034218,0.379108,0.130574,0.029668,0.950494,0.980911,0.992724,0.972230,3.157450,2.584882,1.171168,0.709956,1.6835
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,30-40,30.0,40.0,,300,94542,0.076834,0.036025,0.351057,0.149506,0.032719,0.938548,0.973822,0.989994,0.975143,3.135323,2.282202,1.211766,0.814229,1.6835
