digest,model,family,size,params_m,align,input_size,dataset,baseline,context,context_stride,AbsRel,delta1,delta2,RMSE,log10,coverage,gt_median,n_frames,n_points_total
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,aea,raw,1.000000,1.000000,0.198452,0.761609,0.901956,0.726764,0.079260,1.000000,1.402200,200.000000,724894.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,aea,rect_derect,1.000000,1.000000,0.157714,0.834323,0.923985,0.685946,0.063056,0.987502,1.402200,200.000000,724894.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,nymeria,raw,1.000000,1.000000,0.144561,0.825297,0.936725,0.501156,0.063356,1.000000,1.576302,200.000000,587563.000000
61195914f090,vggt_1b,VGGT,1B,1190.596120,scale_shift,518.000000,nymeria,rect_derect,1.000000,1.000000,0.131130,0.863847,0.949345,0.502437,0.052836,0.989563,1.576302,200.000000,587563.000000
