digest,model,family,size,params_m,align,input_size,dataset,baseline,AbsRel,delta1,delta2,RMSE,log10,coverage,gt_median,n_frames,n_points_total
321f55a96bd4,oracle,oracle,—,0.000000,scale_shift,518.000000,aea,raw,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.395447,200.000000,733694.000000
321f55a96bd4,oracle,oracle,—,0.000000,scale_shift,518.000000,nymeria,raw,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.570683,200.000000,593257.000000
321f55a96bd4,oracle,oracle,—,0.000000,scale_shift,518.000000,oxford,raw,0.000000,1.000000,1.000000,0.000001,0.000000,1.000000,15.069224,200.000000,543479.000000
