digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,gt_median,gt_std,gt_spread,pen
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,10-20,10.0,20.0,,300,15648,0.052086,0.027502,0.312911,0.111207,0.023418,0.960971,0.986565,0.994865,1.009154,2.340501,2.791850,1.014275,0.597355,2.2723
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,20-30,20.0,30.0,,300,29253,0.053109,0.023802,0.277792,0.112285,0.023556,0.963040,0.986243,0.994289,1.010110,2.318724,2.586755,1.170633,0.709204,2.2723
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,30-40,30.0,40.0,,300,46483,0.059019,0.023325,0.259420,0.124512,0.025494,0.955870,0.981858,0.992745,1.003999,2.272806,2.288473,1.211812,0.811885,2.2723
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,40-50,40.0,50.0,,300,66253,0.075109,0.025458,0.243896,0.140320,0.031212,0.948118,0.979028,0.991097,0.980683,2.179523,1.929545,1.172006,0.905743,2.2723
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,50-55,50.0,55.0,,300,35413,0.115573,0.044920,0.314130,0.262541,0.051593,0.919293,0.964406,0.980337,0.945212,2.067619,1.644957,1.088776,0.984225,2.2723
601fcb22767e,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,300,4938,0.137920,1.069439,2.692022,0.217211,0.050192,0.884683,0.959994,0.976633,1.005927,0.733676,2.954797,0.640788,0.287607,1.0108
601fcb22767e,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,300,16010,0.149161,1.704200,3.257797,0.228091,0.051424,0.882423,0.957898,0.978958,1.012196,0.761465,2.792758,1.014439,0.597307,1.0108
601fcb22767e,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,300,29929,0.139269,1.325040,2.882922,0.214275,0.049708,0.884485,0.963002,0.982436,1.015676,0.803728,2.586297,1.170639,0.709415,1.0108
601fcb22767e,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,300,47583,0.139284,1.205927,2.677025,0.216872,0.049524,0.881357,0.961405,0.981368,1.009679,0.852860,2.289225,1.211798,0.811745,1.0108
601fcb22767e,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,300,67828,0.132907,0.661705,1.885718,0.207538,0.050077,0.876523,0.960477,0.981538,0.998994,0.903760,1.929725,1.171937,0.905390,1.0108
601fcb22767e,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,300,36246,0.139414,0.352499,1.287568,0.214358,0.056006,0.855300,0.952000,0.977790,0.983440,0.926184,1.644695,1.088812,0.984485,1.0108
601fcb22767e,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,fisheye,theta,0-10,0.0,10.0,,300,4938,0.130990,1.029125,2.543076,0.200342,0.047866,0.916301,0.966654,0.982808,1.025209,1.172674,2.954797,0.640788,0.287607,1.3003
601fcb22767e,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,fisheye,theta,10-20,10.0,20.0,,300,16010,0.142626,1.253773,2.727691,0.215634,0.051092,0.898202,0.961480,0.981329,1.029338,1.204375,2.792758,1.014439,0.597307,1.3003
601fcb22767e,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,fisheye,theta,20-30,20.0,30.0,,300,29929,0.145340,1.390916,2.859295,0.220100,0.051881,0.887958,0.962887,0.982017,1.030849,1.248641,2.586297,1.170639,0.709415,1.3003
601fcb22767e,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,fisheye,theta,30-40,30.0,40.0,,300,47583,0.148207,1.300400,2.778621,0.226313,0.052477,0.877696,0.958588,0.980579,1.017515,1.290129,2.289225,1.211798,0.811745,1.3003
