tiling,n_patches,patch_fov,scale_spread_pct,disp_deg,align_pct,AbsRel,delta1
1,1,100.00,0.00,2.2909,24.68,0.0489,0.9714
4,16,45.28,2.99,3.1693,17.60,0.1161,0.8685
1+4,17,100.00,3.89,3.5224,16.89,0.0958,0.9509
