digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,gt_median,gt_std,gt_spread,pen
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,300,4938,0.085528,0.055629,0.488280,0.160186,0.039141,0.922847,0.974484,0.987016,0.984924,3.703932,2.954797,0.640788,0.287607,1.9494
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,300,16010,0.086108,0.058923,0.524838,0.167549,0.039451,0.922083,0.972110,0.987641,0.986822,3.672430,2.792758,1.014439,0.597307,1.9494
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,300,29929,0.089480,0.056129,0.505127,0.167492,0.040122,0.918852,0.971164,0.987372,0.985660,3.612127,2.586297,1.170639,0.709415,1.9494
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,300,47583,0.103525,0.057659,0.462829,0.194592,0.045477,0.900146,0.962973,0.983100,0.979871,3.511007,2.289225,1.211798,0.811745,1.9494
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,300,67828,0.128577,0.064660,0.431222,0.247515,0.056551,0.872433,0.949392,0.974851,0.959666,3.347284,1.929725,1.171937,0.905390,1.9494
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,300,36246,0.166730,0.087302,0.462991,0.307769,0.074356,0.817479,0.928017,0.961109,0.934704,3.199413,1.644695,1.088812,0.984485,1.9494
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,rect,theta,0-10,0.0,10.0,,300,7916,0.062045,0.038655,0.405080,0.138474,0.028873,0.951532,0.978203,0.988466,0.976518,3.472798,2.956417,0.639849,0.286065,1.6410
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,rect,theta,10-20,10.0,20.0,,300,25837,0.064893,0.041268,0.429282,0.138786,0.029604,0.947474,0.977754,0.989541,0.975548,3.447813,2.792892,1.014755,0.597736,1.6410
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,rect,theta,20-30,20.0,30.0,,300,51155,0.065889,0.034438,0.378160,0.131384,0.028997,0.949232,0.980069,0.991546,0.974590,3.404309,2.584882,1.171168,0.709956,1.6410
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,rect,theta,30-40,30.0,40.0,,300,94542,0.073516,0.035756,0.347465,0.150716,0.031552,0.941659,0.975602,0.989659,0.974839,3.381858,2.282202,1.211766,0.814229,1.6410
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,rect,theta,40-50,40.0,50.0,,300,85817,0.080576,0.036055,0.342900,0.179156,0.035861,0.928824,0.968280,0.984852,0.986316,3.386824,1.979888,1.173882,0.897575,1.6410
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,real,rect,theta,50-55,50.0,55.0,,300,2940,0.101818,0.046130,0.359401,0.250925,0.048729,0.881941,0.949490,0.975042,1.016067,3.466008,2.012458,1.050907,0.734966,1.6410
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,fisheye,theta,0-10,0.0,10.0,,300,4938,0.082327,0.049207,0.439075,0.141548,0.036527,0.931070,0.981726,0.992401,0.986267,3.855876,2.954797,0.640788,0.287607,1.9450
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,fisheye,theta,10-20,10.0,20.0,,300,16010,0.083204,0.051365,0.470081,0.149792,0.037483,0.925467,0.978586,0.991524,0.991809,3.825986,2.792758,1.014439,0.597307,1.9450
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,fisheye,theta,20-30,20.0,30.0,,300,29929,0.090203,0.052199,0.464626,0.165972,0.040511,0.916538,0.972779,0.989468,0.995214,3.773719,2.586297,1.170639,0.709415,1.9450
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,fisheye,theta,30-40,30.0,40.0,,300,47583,0.102905,0.052764,0.426487,0.183443,0.045132,0.898995,0.966420,0.986996,0.987791,3.678006,2.289225,1.211798,0.811745,1.9450
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,fisheye,theta,40-50,40.0,50.0,,300,67828,0.125988,0.060464,0.407811,0.216451,0.053753,0.873363,0.957300,0.980818,0.964871,3.499284,1.929725,1.171937,0.905390,1.9450
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,fisheye,theta,50-55,50.0,55.0,,300,36246,0.160126,0.079697,0.436769,0.267598,0.068723,0.814481,0.938364,0.969954,0.945604,3.366966,1.644695,1.088812,0.984485,1.9450
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,rect,theta,0-10,0.0,10.0,,300,7916,0.055255,0.036452,0.367203,0.122576,0.025126,0.961345,0.982732,0.991861,0.978610,3.504054,2.956417,0.639849,0.286065,1.7184
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,rect,theta,10-20,10.0,20.0,,300,25837,0.056727,0.035672,0.384573,0.124326,0.025629,0.958793,0.980408,0.992120,0.978873,3.471800,2.792892,1.014755,0.597736,1.7184
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,rect,theta,20-30,20.0,30.0,,300,51155,0.058298,0.031454,0.344783,0.123013,0.025471,0.960125,0.980650,0.992662,0.979598,3.453500,2.584882,1.171168,0.709956,1.7184
601fcb22767e,vggt_1b,VGGT,1B,1157.94,scale_shift,radial,synthetic,rect,theta,30-40,30.0,40.0,,300,94542,0.064598,0.030062,0.311990,0.133906,0.027402,0.953938,0.978715,0.990345,0.981351,3.440493,2.282202,1.211766,0.814229,1.7184
