digest,model,family,size,params_m,align,protocol,stream,view,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,anchored_ratio,pen,drift
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,50-55,50.0,55.0,,200,2940,0.079287,0.027574,0.198361,0.139236,0.037902,0.906973,0.966634,0.984941,1.027075,2.616869,1.021588,1.1837,0.9500
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,real,fisheye,tilt0,0.0,0.0,0.0,200,0,0.069629,0.040199,0.318781,0.122671,0.030563,0.939660,0.972958,0.990247,0.975639,2.829955,,1.4018,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,real,fisheye,tilt10,10.0,10.0,10.0,800,0,0.070739,0.039347,0.314724,0.122646,0.030838,0.939117,0.974073,0.990509,0.978589,2.836163,,1.4018,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,real,fisheye,tilt20,20.0,20.0,20.0,800,0,0.080383,0.042392,0.326064,0.130646,0.034808,0.929766,0.972844,0.990375,0.981637,2.864127,,1.4018,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,real,fisheye,tilt30,30.0,30.0,30.0,800,0,0.091058,0.049798,0.344725,0.137406,0.038853,0.915973,0.971154,0.989318,0.983163,2.934225,,1.4018,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,real,fisheye,tilt40,40.0,40.0,40.0,800,0,0.097604,0.059354,0.363174,0.139476,0.041195,0.906998,0.969546,0.987642,0.981501,2.974527,,1.4018,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,real,rect,tilt0,0.0,0.0,0.0,200,0,0.073452,0.042337,0.326426,0.125640,0.032168,0.934299,0.971260,0.989995,0.973118,2.804386,,1.3031,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,real,rect,tilt10,10.0,10.0,10.0,800,0,0.072032,0.041643,0.316373,0.124860,0.031344,0.934853,0.971422,0.989710,0.976824,2.824207,,1.3031,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,real,rect,tilt20,20.0,20.0,20.0,800,0,0.068320,0.036731,0.298271,0.120164,0.029786,0.936371,0.974048,0.991177,0.980165,2.863038,,1.3031,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,real,rect,tilt30,30.0,30.0,30.0,800,0,0.070472,0.038386,0.293110,0.116976,0.030240,0.931395,0.974849,0.991156,0.982533,2.914396,,1.3031,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,real,rect,tilt40,40.0,40.0,40.0,800,0,0.095718,0.075581,0.367448,0.135591,0.039387,0.896348,0.964097,0.986176,0.979681,2.924101,,1.3031,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,synthetic,fisheye,tilt0,0.0,0.0,0.0,200,0,0.058699,0.029695,0.291425,0.110061,0.026291,0.958766,0.983128,0.993269,0.977259,2.813795,,1.9094,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,synthetic,fisheye,tilt10,10.0,10.0,10.0,800,0,0.063381,0.031733,0.298929,0.114416,0.028158,0.954138,0.982091,0.992942,0.978103,2.832915,,1.9094,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,synthetic,fisheye,tilt20,20.0,20.0,20.0,800,0,0.071748,0.035841,0.311518,0.120453,0.031456,0.947195,0.980174,0.991883,0.982093,2.856790,,1.9094,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,synthetic,fisheye,tilt30,30.0,30.0,30.0,800,0,0.080842,0.043414,0.331596,0.124875,0.034990,0.934381,0.979913,0.992384,0.983847,2.904226,,1.9094,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,synthetic,fisheye,tilt40,40.0,40.0,40.0,800,0,0.112079,0.087911,0.419277,0.151386,0.046669,0.878152,0.965566,0.987830,0.979051,2.946766,,1.9094,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,synthetic,rect,tilt0,0.0,0.0,0.0,200,0,0.060713,0.030593,0.293154,0.111739,0.027126,0.956644,0.982316,0.993208,0.976331,2.802978,,2.0970,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,synthetic,rect,tilt10,10.0,10.0,10.0,800,0,0.061309,0.031180,0.290078,0.112657,0.027185,0.951995,0.981912,0.992956,0.977263,2.834760,,2.0970,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,synthetic,rect,tilt20,20.0,20.0,20.0,800,0,0.063983,0.032823,0.292511,0.114872,0.028179,0.947030,0.979750,0.991957,0.978381,2.852718,,2.0970,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,synthetic,rect,tilt30,30.0,30.0,30.0,800,0,0.064140,0.032863,0.287440,0.110473,0.028052,0.944840,0.982932,0.993268,0.981807,2.887858,,2.0970,
fcc6c600f83b,vggt_1b,VGGT,1B,1190.60,scale_shift,window,synthetic,rect,tilt40,40.0,40.0,40.0,800,0,0.127313,0.101794,0.450900,0.166762,0.052103,0.845408,0.954502,0.983841,0.971716,2.910638,,2.0970,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,0-10,0.0,10.0,,200,4825,0.071668,0.045889,0.329212,0.126779,0.032309,0.930072,0.966520,0.985642,1.006919,2.092705,0.979924,1.5037,1.1057
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,10-20,10.0,20.0,,200,15660,0.067356,0.036410,0.311549,0.120028,0.030016,0.939126,0.972947,0.991351,1.013216,2.099366,0.978468,1.5037,1.1057
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,20-30,20.0,30.0,,200,29277,0.060415,0.025081,0.258230,0.108826,0.026590,0.950341,0.982480,0.994804,1.015577,2.088459,0.972482,1.5037,1.1057
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,30-40,30.0,40.0,,200,46487,0.062070,0.021500,0.219823,0.112948,0.026763,0.944843,0.979145,0.994156,1.003628,2.038503,0.957057,1.5037,1.1057
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,40-50,40.0,50.0,,200,66249,0.075234,0.025103,0.222640,0.141346,0.033215,0.938489,0.970608,0.989091,0.979494,1.956533,0.928626,1.5037,1.1057
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,50-55,50.0,55.0,,200,35412,0.107768,0.038898,0.280053,0.186874,0.048676,0.923094,0.964667,0.982444,0.939806,1.850061,0.886268,1.5037,1.1057
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,0-10,0.0,10.0,,200,7745,0.064439,0.044214,0.316805,0.123276,0.029031,0.934676,0.969112,0.986452,0.992989,2.258154,0.981098,0.8629,1.0476
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,10-20,10.0,20.0,,200,25247,0.061366,0.035165,0.299368,0.116428,0.027095,0.942470,0.974591,0.992005,0.994233,2.265072,0.981328,0.8629,1.0476
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,20-30,20.0,30.0,,200,50035,0.054585,0.023336,0.237880,0.103044,0.023507,0.954033,0.981514,0.995349,0.994903,2.277861,0.973320,0.8629,1.0476
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,30-40,30.0,40.0,,200,92347,0.061234,0.022384,0.207422,0.111421,0.025182,0.945303,0.974799,0.993876,0.990649,2.276234,0.964059,0.8629,1.0476
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,40-50,40.0,50.0,,200,83851,0.061394,0.021076,0.187732,0.113457,0.025423,0.947856,0.975444,0.991538,0.991755,2.281303,0.946813,0.8629,1.0476
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,50-55,50.0,55.0,,200,2874,0.055601,0.018650,0.147028,0.088140,0.024354,0.954766,0.983279,0.991108,0.995775,2.290508,0.936515,0.8629,1.0476
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,0-10,0.0,10.0,,200,4825,0.054580,0.034380,0.295318,0.107009,0.024967,0.955771,0.981950,0.990970,1.009575,2.418797,0.983192,1.8290,1.0878
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,10-20,10.0,20.0,,200,15660,0.049914,0.027246,0.285150,0.101105,0.022797,0.962566,0.985617,0.994906,1.010011,2.414790,0.981831,1.8290,1.0878
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,20-30,20.0,30.0,,200,29277,0.048793,0.022062,0.255851,0.098258,0.022068,0.967502,0.987393,0.994916,1.014679,2.398276,0.979031,1.8290,1.0878
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,30-40,30.0,40.0,,200,46487,0.054009,0.021430,0.223384,0.104743,0.023229,0.963562,0.983021,0.992395,1.007948,2.344853,0.966369,1.8290,1.0878
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,40-50,40.0,50.0,,200,66249,0.066472,0.022767,0.209008,0.111388,0.027561,0.959204,0.981427,0.990573,0.983121,2.251322,0.940789,1.8290,1.0878
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,50-55,50.0,55.0,,200,35412,0.099827,0.037594,0.273145,0.191999,0.044081,0.944381,0.974824,0.984266,0.945667,2.136489,0.903859,1.8290,1.0878
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,0-10,0.0,10.0,,200,7745,0.044954,0.028868,0.248656,0.092239,0.019645,0.968655,0.985828,0.993090,0.990720,2.499740,0.988765,0.9998,1.0133
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,10-20,10.0,20.0,,200,25247,0.041233,0.022280,0.242592,0.088121,0.018087,0.972732,0.988872,0.995836,0.991187,2.502001,0.987206,0.9998,1.0133
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,20-30,20.0,30.0,,200,50035,0.039903,0.018640,0.218560,0.086506,0.017278,0.974740,0.989371,0.995909,0.993966,2.505277,0.985093,0.9998,1.0133
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,30-40,30.0,40.0,,200,92347,0.046917,0.020473,0.203405,0.098146,0.019181,0.966772,0.984450,0.993655,0.996158,2.505498,0.981277,0.9998,1.0133
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,40-50,40.0,50.0,,200,83851,0.049302,0.019733,0.182599,0.097620,0.019883,0.965192,0.984372,0.993668,0.999375,2.509488,0.978378,0.9998,1.0133
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,50-55,50.0,55.0,,200,2874,0.044945,0.014157,0.124796,0.072037,0.018592,0.971568,0.989261,0.996839,1.003210,2.514903,0.975812,0.9998,1.0133
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,real,fisheye,tilt0,0.0,0.0,0.0,200,0,0.070612,0.036819,0.298621,0.119082,0.030343,0.931074,0.979005,0.992844,0.985170,2.387392,,1.2071,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,real,fisheye,tilt10,10.0,10.0,10.0,800,0,0.070425,0.036402,0.294301,0.119753,0.030084,0.934861,0.977901,0.992305,0.988070,2.492722,,1.2071,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,real,fisheye,tilt20,20.0,20.0,20.0,800,0,0.074602,0.037230,0.291518,0.121070,0.031613,0.933485,0.975642,0.992469,0.989801,2.617180,,1.2071,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,real,fisheye,tilt30,30.0,30.0,30.0,800,0,0.080221,0.040121,0.298785,0.122948,0.033861,0.934369,0.976065,0.990743,0.991195,2.654089,,1.2071,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,real,fisheye,tilt40,40.0,40.0,40.0,800,0,0.085234,0.046230,0.314472,0.126188,0.035749,0.926460,0.975032,0.989696,0.989449,2.667433,,1.2071,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,real,rect,tilt0,0.0,0.0,0.0,200,0,0.071014,0.037414,0.300910,0.118810,0.030437,0.929539,0.978204,0.992699,0.984393,2.419341,,1.1372,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,real,rect,tilt10,10.0,10.0,10.0,800,0,0.070322,0.037588,0.293861,0.120137,0.029981,0.931427,0.976609,0.991938,0.986729,2.456402,,1.1372,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,real,rect,tilt20,20.0,20.0,20.0,800,0,0.067711,0.035958,0.279837,0.115784,0.028675,0.931000,0.975317,0.992366,0.988992,2.539004,,1.1372,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,real,rect,tilt30,30.0,30.0,30.0,800,0,0.064183,0.032759,0.261718,0.108938,0.027185,0.939204,0.977411,0.992136,0.989277,2.649827,,1.1372,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,real,rect,tilt40,40.0,40.0,40.0,800,0,0.080757,0.052678,0.331432,0.148589,0.034746,0.917442,0.969925,0.987430,0.984889,2.581916,,1.1372,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,synthetic,fisheye,tilt0,0.0,0.0,0.0,200,0,0.052216,0.025627,0.262888,0.098540,0.022912,0.961302,0.986904,0.995679,0.985655,2.868597,,1.4705,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,synthetic,fisheye,tilt10,10.0,10.0,10.0,800,0,0.056328,0.027587,0.270133,0.103824,0.024530,0.959482,0.985345,0.994939,0.986466,2.926285,,1.4705,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,synthetic,fisheye,tilt20,20.0,20.0,20.0,800,0,0.062264,0.029615,0.273381,0.107935,0.026723,0.957448,0.984278,0.994157,0.989466,2.999422,,1.4705,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,synthetic,fisheye,tilt30,30.0,30.0,30.0,800,0,0.068582,0.032225,0.281786,0.110510,0.029227,0.952729,0.984769,0.994070,0.992409,3.030492,,1.4705,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,synthetic,fisheye,tilt40,40.0,40.0,40.0,800,0,0.076784,0.040072,0.308522,0.121614,0.032863,0.942100,0.981306,0.992822,0.988849,3.077769,,1.4705,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,synthetic,rect,tilt0,0.0,0.0,0.0,200,0,0.056204,0.027394,0.276548,0.104181,0.024852,0.957888,0.985363,0.994923,0.982590,2.916509,,1.2574,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,synthetic,rect,tilt10,10.0,10.0,10.0,800,0,0.055320,0.027692,0.273472,0.104924,0.024309,0.958817,0.984730,0.994375,0.983003,2.958772,,1.2574,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,synthetic,rect,tilt20,20.0,20.0,20.0,800,0,0.055232,0.028002,0.265028,0.103990,0.023888,0.957846,0.983713,0.994082,0.986520,2.998243,,1.2574,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,synthetic,rect,tilt30,30.0,30.0,30.0,800,0,0.054661,0.027257,0.251980,0.099437,0.023482,0.954888,0.985387,0.994358,0.988998,3.027493,,1.2574,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,window,synthetic,rect,tilt40,40.0,40.0,40.0,800,0,0.070672,0.041800,0.314649,0.137334,0.030978,0.938161,0.979305,0.990618,0.984767,3.095722,,1.2574,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,fisheye,0-10,0.0,10.0,,200,4944,0.117148,0.221028,0.535415,0.159515,0.048712,0.904398,0.962552,0.977694,1.019774,0.757517,1.004931,1.0041,1.1112
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,fisheye,10-20,10.0,20.0,,200,16022,0.115473,0.557061,0.686870,0.150279,0.045491,0.914558,0.972704,0.984186,1.022446,0.799233,0.995474,1.0041,1.1112
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,fisheye,20-30,20.0,30.0,,200,29952,0.110096,0.427607,0.683290,0.142699,0.043594,0.917500,0.974984,0.987935,1.021420,0.853430,0.975123,1.0041,1.1112
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,fisheye,30-40,30.0,40.0,,200,47588,0.106287,0.262597,0.593035,0.140672,0.042587,0.911206,0.974405,0.989139,1.010834,0.912515,0.953167,1.0041,1.1112
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,fisheye,40-50,40.0,50.0,,200,67824,0.105386,0.154117,0.499840,0.144905,0.043178,0.900624,0.973658,0.989512,0.988875,0.958172,0.928664,1.0041,1.1112
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,fisheye,50-55,50.0,55.0,,200,36245,0.117632,0.119472,0.457088,0.166162,0.049641,0.878796,0.964417,0.984727,0.968403,0.979727,0.904385,1.0041,1.1112
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,rect,0-10,0.0,10.0,,200,7926,0.121582,1.718208,0.690458,0.145919,0.040034,0.918001,0.964662,0.979163,0.995601,1.260659,1.003126,0.7334,1.0126
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,rect,10-20,10.0,20.0,,200,25857,0.092596,0.630832,0.650834,0.130681,0.034281,0.926755,0.973183,0.985681,0.996587,1.350675,0.995327,0.7334,1.0126
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,rect,20-30,20.0,30.0,,200,51196,0.086749,0.486518,0.639339,0.121430,0.032634,0.934118,0.975734,0.989250,0.996262,1.469135,0.985778,0.7334,1.0126
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,rect,30-40,30.0,40.0,,200,94551,0.090488,0.407328,0.591647,0.123866,0.034779,0.925450,0.972993,0.989094,0.994028,1.619686,0.978233,0.7334,1.0126
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,rect,40-50,40.0,50.0,,200,85810,0.088815,0.124544,0.412983,0.124983,0.037024,0.918768,0.971197,0.989024,1.003984,1.766652,0.979112,0.7334,1.0126
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,real,rect,50-55,50.0,55.0,,200,2940,0.089169,0.072883,0.304586,0.118686,0.039550,0.916446,0.964836,0.988702,1.027271,1.850661,0.990643,0.7334,1.0126
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,fisheye,0-10,0.0,10.0,,200,4944,0.121024,0.651385,0.599515,0.142033,0.046038,0.936019,0.971700,0.981676,1.041261,1.226376,1.005570,1.1776,1.1512
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,fisheye,10-20,10.0,20.0,,200,16022,0.109409,0.456451,0.592633,0.138033,0.043115,0.936040,0.976876,0.987182,1.044907,1.267489,0.997469,1.1776,1.1512
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,fisheye,20-30,20.0,30.0,,200,29952,0.109676,0.520610,0.603572,0.139174,0.043169,0.929823,0.976180,0.988090,1.042671,1.319868,0.978744,1.1776,1.1512
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,fisheye,30-40,30.0,40.0,,200,47588,0.110355,0.394831,0.615262,0.142913,0.043128,0.918475,0.972965,0.985941,1.021857,1.376727,0.951833,1.1776,1.1512
