digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,gt_median,gt_std,gt_spread,pen
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,10-20,10.0,20.0,,300,25837,0.059563,0.036215,0.383557,0.122353,0.026653,0.962330,0.983417,0.992560,0.973828,3.070698,2.792892,1.014755,0.597736,1.6101
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,20-30,20.0,30.0,,300,51155,0.059604,0.031374,0.345936,0.119797,0.026126,0.962375,0.983986,0.993199,0.978274,3.058495,2.584882,1.171168,0.709956,1.6101
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,30-40,30.0,40.0,,300,94542,0.066716,0.029138,0.305963,0.133675,0.028495,0.951145,0.977833,0.991524,0.983491,3.045120,2.282202,1.211766,0.814229,1.6101
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,40-50,40.0,50.0,,300,85817,0.074348,0.029046,0.290925,0.153589,0.032346,0.931657,0.973056,0.989331,0.995598,3.048578,1.979888,1.173882,0.897575,1.6101
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,50-55,50.0,55.0,,300,2940,0.097373,0.040567,0.327836,0.195308,0.044277,0.885604,0.952125,0.978183,1.028603,3.122723,2.012458,1.050907,0.734966,1.6101
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,300,4819,0.061459,0.035148,0.368210,0.131051,0.028518,0.956392,0.980183,0.990530,1.008498,2.279145,2.955675,0.639956,0.286752,1.9730
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,300,15648,0.061256,0.031990,0.351749,0.127984,0.028124,0.957914,0.981261,0.991550,1.008769,2.263934,2.791850,1.014275,0.597355,1.9730
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,300,29253,0.057835,0.024090,0.294618,0.121577,0.026300,0.962371,0.984126,0.992731,1.008292,2.235161,2.586755,1.170633,0.709204,1.9730
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,300,46483,0.061673,0.022103,0.265484,0.136986,0.028174,0.951310,0.982035,0.992391,1.000237,2.181864,2.288473,1.211812,0.811885,1.9730
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,300,66253,0.080421,0.025871,0.265389,0.186130,0.037338,0.933258,0.974032,0.987483,0.974575,2.081512,1.929545,1.172006,0.905743,1.9730
