tiling,n_patches,patch_fov,scale_spread_pct,disp_deg,align_pct,AbsRel,delta1
1x1,1,100.00,0.00,2.0120,22.29,0.0389,0.9755
2x2,4,79.67,179.11,2.7835,15.40,0.4047,0.1438
3x3,9,58.16,284.68,3.3087,14.48,0.8047,0.2377
4x4,16,45.28,490.00,2.8252,14.73,0.9275,0.0928
