digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,gt_median,gt_std,gt_spread,pen
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,40-50,40.0,50.0,,300,85817,0.077995,0.030787,0.285368,0.168038,0.034248,0.925535,0.970955,0.987403,1.000862,2.605113,1.979888,1.173882,0.897575,1.4502
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,50-55,50.0,55.0,,300,2940,0.098320,0.038667,0.303833,0.213586,0.045716,0.885731,0.950420,0.977342,1.035642,2.634505,2.012458,1.050907,0.734966,1.4502
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,300,4819,0.057346,0.036165,0.355254,0.133696,0.025834,0.948753,0.975846,0.989709,1.007475,2.057677,2.955675,0.639956,0.286752,2.0240
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,300,15648,0.058186,0.032684,0.339505,0.128243,0.025888,0.952030,0.978484,0.991520,1.009100,2.052801,2.791850,1.014275,0.597355,2.0240
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,300,29253,0.056361,0.024479,0.281601,0.120262,0.024678,0.956786,0.981333,0.993366,1.009454,2.034200,2.586755,1.170633,0.709204,2.0240
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,300,46483,0.060684,0.023457,0.257931,0.130515,0.026252,0.948865,0.980159,0.992798,1.001164,1.991518,2.288473,1.211812,0.811885,2.0240
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,300,66253,0.078368,0.027061,0.260430,0.165531,0.034181,0.935528,0.971301,0.987326,0.978418,1.908785,1.929545,1.172006,0.905743,2.0240
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,300,35413,0.116070,0.043992,0.339642,0.220716,0.051330,0.914576,0.959728,0.977299,0.940676,1.805302,1.644957,1.088776,0.984225,2.0240
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,0-10,0.0,10.0,,300,7735,0.052377,0.032634,0.341665,0.128072,0.023249,0.949843,0.974635,0.991597,0.987349,2.236478,2.955343,0.640660,0.287747,1.4636
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,10-20,10.0,20.0,,300,25229,0.055543,0.030526,0.317951,0.125298,0.023907,0.947985,0.975866,0.992898,0.988322,2.241962,2.792782,1.014823,0.597449,1.4636
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,20-30,20.0,30.0,,300,49995,0.055668,0.023838,0.262721,0.119819,0.023319,0.949559,0.979320,0.994639,0.990946,2.245613,2.584543,1.171257,0.710057,1.4636
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,30-40,30.0,40.0,,300,92339,0.063075,0.025566,0.244628,0.135696,0.025578,0.941332,0.975674,0.991799,0.992202,2.245624,2.282323,1.211813,0.814367,1.4636
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,40-50,40.0,50.0,,300,83857,0.068623,0.025970,0.237947,0.148496,0.028012,0.937571,0.972259,0.987985,0.995980,2.247402,1.981325,1.173882,0.896788,1.4636
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,50-55,50.0,55.0,,300,2874,0.076661,0.027366,0.229560,0.172877,0.032326,0.925297,0.967217,0.980074,1.000857,2.249367,2.003817,1.050707,0.741876,1.4636
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,0-10,0.0,10.0,,300,4819,0.050797,0.032942,0.330710,0.113296,0.022697,0.960535,0.986275,0.993931,1.006682,2.346797,2.955675,0.639956,0.286752,2.2775
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,10-20,10.0,20.0,,300,15648,0.052024,0.027486,0.312780,0.111135,0.023393,0.960991,0.986577,0.994861,1.009129,2.340713,2.791850,1.014275,0.597355,2.2775
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,20-30,20.0,30.0,,300,29253,0.053039,0.023761,0.277563,0.112211,0.023527,0.963235,0.986318,0.994262,1.010109,2.318940,2.586755,1.170633,0.709204,2.2775
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,30-40,30.0,40.0,,300,46483,0.059022,0.023342,0.259292,0.124528,0.025487,0.956116,0.981829,0.992734,1.004001,2.273015,2.288473,1.211812,0.811885,2.2775
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,40-50,40.0,50.0,,300,66253,0.075148,0.025484,0.243875,0.140468,0.031222,0.948274,0.978948,0.991115,0.980683,2.179815,1.929545,1.172006,0.905743,2.2775
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,50-55,50.0,55.0,,300,35413,0.115690,0.044995,0.314203,0.262731,0.051650,0.918929,0.964275,0.980171,0.945234,2.067919,1.644957,1.088776,0.984225,2.2775
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,0-10,0.0,10.0,,300,7735,0.043166,0.030318,0.287002,0.104859,0.017936,0.971603,0.986509,0.993883,0.987088,2.439672,2.955343,0.640660,0.287747,1.5976
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,10-20,10.0,20.0,,300,25229,0.043659,0.025110,0.272354,0.104012,0.018348,0.968965,0.985942,0.994812,0.990345,2.445875,2.792782,1.014823,0.597449,1.5976
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,20-30,20.0,30.0,,300,49995,0.044504,0.023104,0.248443,0.105391,0.018456,0.967168,0.986658,0.994597,0.993383,2.449508,2.584543,1.171257,0.710057,1.5976
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,30-40,30.0,40.0,,300,92339,0.051778,0.023392,0.238106,0.119586,0.020859,0.957419,0.981467,0.992633,0.996805,2.447918,2.282323,1.211813,0.814367,1.5976
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,40-50,40.0,50.0,,300,83857,0.058669,0.023368,0.217953,0.128346,0.023242,0.953031,0.979819,0.990277,0.999656,2.448738,1.981325,1.173882,0.896788,1.5976
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,50-55,50.0,55.0,,300,2874,0.068960,0.025365,0.211501,0.144749,0.026966,0.947210,0.975715,0.987263,1.005707,2.448889,2.003817,1.050707,0.741876,1.5976
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,300,4938,0.077701,0.041322,0.352604,0.133393,0.032681,0.930545,0.980722,0.994119,1.003990,2.216963,2.954797,0.640788,0.287607,1.9500
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,300,16010,0.087690,0.044185,0.338423,0.144957,0.035712,0.921591,0.971690,0.991297,1.000890,2.192630,2.792758,1.014439,0.597307,1.9500
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,300,29929,0.085562,0.037524,0.310302,0.144147,0.034811,0.925736,0.974093,0.992791,1.002480,2.161592,2.586297,1.170639,0.709415,1.9500
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,300,47583,0.092307,0.039346,0.324893,0.162842,0.038205,0.911263,0.971632,0.990027,0.996708,2.101783,2.289225,1.211798,0.811745,1.9500
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,300,67828,0.115729,0.051667,0.370783,0.227194,0.050340,0.878869,0.953870,0.979025,0.982778,2.004293,1.929725,1.171937,0.905390,1.9500
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,300,36246,0.151517,0.071442,0.428612,0.303887,0.068761,0.833092,0.929930,0.963845,0.958837,1.896159,1.644695,1.088812,0.984485,1.9500
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,rect,theta,0-10,0.0,10.0,,300,7916,0.066203,0.038264,0.328723,0.129371,0.027386,0.945900,0.977799,0.992813,0.992464,2.143887,2.956417,0.639849,0.286065,1.6828
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,rect,theta,10-20,10.0,20.0,,300,25837,0.078622,0.044627,0.316171,0.164773,0.031238,0.927830,0.965806,0.990076,0.986303,2.128917,2.792892,1.014755,0.597736,1.6828
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,rect,theta,20-30,20.0,30.0,,300,51155,0.075596,0.037147,0.286241,0.149361,0.029709,0.932202,0.970848,0.991356,0.986262,2.117581,2.584882,1.171168,0.709956,1.6828
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,rect,theta,30-40,30.0,40.0,,300,94542,0.081501,0.039246,0.322241,0.158593,0.032974,0.922501,0.970170,0.988479,0.989250,2.101843,2.282202,1.211766,0.814229,1.6828
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,rect,theta,40-50,40.0,50.0,,300,85817,0.092283,0.046169,0.376574,0.189707,0.039417,0.902117,0.959258,0.981821,0.996376,2.086009,1.979888,1.173882,0.897575,1.6828
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,rect,theta,50-55,50.0,55.0,,300,2940,0.111404,0.055465,0.385607,0.232254,0.049221,0.869503,0.942076,0.969780,1.011079,2.083008,2.012458,1.050907,0.734966,1.6828
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,synthetic,fisheye,theta,0-10,0.0,10.0,,300,4938,0.059300,0.037554,0.318546,0.109821,0.024713,0.966812,0.988361,0.995555,1.003307,2.531243,2.954797,0.640788,0.287607,2.2715
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,synthetic,fisheye,theta,10-20,10.0,20.0,,300,16010,0.060834,0.033390,0.310576,0.110602,0.025748,0.964754,0.987727,0.995937,1.005605,2.500538,2.792758,1.014439,0.597307,2.2715
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,synthetic,fisheye,theta,20-30,20.0,30.0,,300,29929,0.064553,0.031201,0.289772,0.118876,0.027398,0.961821,0.986498,0.994982,1.010507,2.468759,2.586297,1.170639,0.709415,2.2715
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,synthetic,fisheye,theta,30-40,30.0,40.0,,300,47583,0.077542,0.033192,0.285783,0.140139,0.032581,0.942116,0.979310,0.991449,1.006372,2.401690,2.289225,1.211798,0.811745,2.2715
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,synthetic,fisheye,theta,40-50,40.0,50.0,,300,67828,0.100085,0.039724,0.304926,0.176897,0.042637,0.906489,0.966167,0.984821,0.990486,2.291647,1.929725,1.171937,0.905390,2.2715
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,synthetic,fisheye,theta,50-55,50.0,55.0,,300,36246,0.134697,0.060416,0.380345,0.238236,0.058078,0.861860,0.947232,0.973843,0.963301,2.169656,1.644695,1.088812,0.984485,2.2715
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,synthetic,rect,theta,0-10,0.0,10.0,,300,7916,0.044705,0.031492,0.286186,0.099514,0.018475,0.974267,0.990313,0.995819,0.989357,2.434432,2.956417,0.639849,0.286065,1.8017
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,synthetic,rect,theta,10-20,10.0,20.0,,300,25837,0.046803,0.027912,0.276519,0.101686,0.019524,0.969496,0.989063,0.995726,0.991429,2.428172,2.792892,1.014755,0.597736,1.8017
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,synthetic,rect,theta,20-30,20.0,30.0,,300,51155,0.049409,0.026709,0.257305,0.108318,0.020382,0.968433,0.987132,0.994747,0.995119,2.423098,2.584882,1.171168,0.709956,1.8017
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,synthetic,rect,theta,30-40,30.0,40.0,,300,94542,0.060117,0.028617,0.258406,0.129567,0.024401,0.956529,0.981236,0.990133,0.998045,2.413915,2.282202,1.211766,0.814229,1.8017
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,synthetic,rect,theta,40-50,40.0,50.0,,300,85817,0.069039,0.028256,0.249923,0.145559,0.028399,0.944812,0.977757,0.988804,1.001716,2.403591,1.979888,1.173882,0.897575,1.8017
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,synthetic,rect,theta,50-55,50.0,55.0,,300,2940,0.080546,0.028476,0.242175,0.166219,0.033406,0.931951,0.971845,0.987018,1.006929,2.398811,2.012458,1.050907,0.734966,1.8017
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,300,4938,0.146626,0.106157,0.507613,0.208583,0.057669,0.849786,0.939591,0.974491,1.021170,2.396896,2.954797,0.640788,0.287607,1.4735
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,300,16010,0.165222,0.114479,0.491239,0.229649,0.062920,0.823036,0.919438,0.965201,1.013466,2.362122,2.792758,1.014439,0.597307,1.4735
