digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,gt_median,gt_std,gt_spread,pen
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,300,4938,0.085632,0.055723,0.488805,0.160362,0.039173,0.922995,0.974322,0.987012,0.984790,3.702500,2.954797,0.640788,0.287607,1.9472
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,300,16010,0.086225,0.059069,0.525659,0.167975,0.039501,0.922053,0.971991,0.987600,0.986750,3.671015,2.792758,1.014439,0.597307,1.9472
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,300,29929,0.089609,0.056287,0.505807,0.167878,0.040174,0.918517,0.970954,0.987287,0.985641,3.610849,2.586297,1.170639,0.709415,1.9472
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,300,47583,0.103611,0.057771,0.463136,0.194833,0.045508,0.899994,0.962865,0.982989,0.979899,3.509924,2.289225,1.211798,0.811745,1.9472
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,300,67828,0.128613,0.064748,0.431320,0.248546,0.056580,0.872190,0.949336,0.974707,0.959751,3.346332,1.929725,1.171937,0.905390,1.9472
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,300,36246,0.166744,0.087328,0.462785,0.307429,0.074351,0.817489,0.927915,0.961111,0.934813,3.198840,1.644695,1.088812,0.984485,1.9472
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,0-10,0.0,10.0,,300,7916,0.061982,0.038638,0.404986,0.138391,0.028846,0.951537,0.978201,0.988467,0.976551,3.471607,2.956417,0.639849,0.286065,1.6429
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,10-20,10.0,20.0,,300,25837,0.064875,0.041312,0.429661,0.138802,0.029603,0.947737,0.977742,0.989526,0.975568,3.446733,2.792892,1.014755,0.597736,1.6429
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,20-30,20.0,30.0,,300,51155,0.065787,0.034351,0.377840,0.131065,0.028955,0.949548,0.980143,0.991570,0.974584,3.403210,2.584882,1.171168,0.709956,1.6429
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,30-40,30.0,40.0,,300,94542,0.073449,0.035660,0.347282,0.150560,0.031533,0.941875,0.975591,0.989660,0.974857,3.380799,2.282202,1.211766,0.814229,1.6429
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,40-50,40.0,50.0,,300,85817,0.080607,0.036064,0.343340,0.179401,0.035887,0.928772,0.968099,0.984861,0.986388,3.385216,1.979888,1.173882,0.897575,1.6429
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,real,rect,theta,50-55,50.0,55.0,,300,2940,0.101828,0.046161,0.360202,0.250829,0.048772,0.881767,0.949458,0.975069,1.016087,3.463728,2.012458,1.050907,0.734966,1.6429
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,0-10,0.0,10.0,,300,4938,0.082449,0.049419,0.439354,0.141886,0.036571,0.930690,0.981693,0.992366,0.986339,3.855115,2.954797,0.640788,0.287607,1.9416
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,10-20,10.0,20.0,,300,16010,0.083236,0.051247,0.469726,0.149766,0.037500,0.925284,0.978543,0.991512,0.991819,3.824729,2.792758,1.014439,0.597307,1.9416
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,20-30,20.0,30.0,,300,29929,0.090257,0.052193,0.464477,0.165888,0.040531,0.916525,0.972624,0.989438,0.995267,3.772402,2.586297,1.170639,0.709415,1.9416
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,30-40,30.0,40.0,,300,47583,0.102930,0.052752,0.426060,0.183474,0.045138,0.899021,0.966376,0.986934,0.987819,3.676960,2.289225,1.211798,0.811745,1.9416
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,40-50,40.0,50.0,,300,67828,0.125993,0.060396,0.407315,0.216106,0.053750,0.873228,0.957204,0.980708,0.964894,3.498690,1.929725,1.171937,0.905390,1.9416
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,fisheye,theta,50-55,50.0,55.0,,300,36246,0.160082,0.079573,0.436324,0.267563,0.068725,0.814691,0.938367,0.969780,0.945749,3.367077,1.644695,1.088812,0.984485,1.9416
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,0-10,0.0,10.0,,300,7916,0.055256,0.036474,0.367114,0.122509,0.025121,0.961654,0.982723,0.991857,0.978566,3.503665,2.956417,0.639849,0.286065,1.7178
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,10-20,10.0,20.0,,300,25837,0.056742,0.035670,0.384610,0.124341,0.025635,0.958883,0.980408,0.992106,0.978830,3.471629,2.792892,1.014755,0.597736,1.7178
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,20-30,20.0,30.0,,300,51155,0.058277,0.031411,0.344735,0.122960,0.025472,0.960108,0.980679,0.992680,0.979573,3.453226,2.584882,1.171168,0.709956,1.7178
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,30-40,30.0,40.0,,300,94542,0.064596,0.030050,0.312062,0.133889,0.027407,0.953944,0.978741,0.990327,0.981345,3.440351,2.282202,1.211766,0.814229,1.7178
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,40-50,40.0,50.0,,300,85817,0.072786,0.029381,0.281565,0.154002,0.030928,0.941097,0.975632,0.988914,0.989591,3.447022,1.979888,1.173882,0.897575,1.7178
601fcb22767e,vggt_1b,VGGT,1B,1190.60,scale_shift,radial,synthetic,rect,theta,50-55,50.0,55.0,,300,2940,0.094918,0.038980,0.306839,0.181922,0.041232,0.898336,0.956785,0.983061,1.012725,3.502528,2.012458,1.050907,0.734966,1.7178
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,300,4819,0.056830,0.034446,0.376572,0.131602,0.027021,0.955615,0.979738,0.990109,1.013083,2.898475,2.955675,0.639956,0.286752,2.0522
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,300,15648,0.055512,0.029880,0.351549,0.123677,0.026039,0.960931,0.983201,0.992027,1.012880,2.878005,2.791850,1.014275,0.597355,2.0522
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,300,29253,0.052039,0.021795,0.288193,0.114014,0.024045,0.967138,0.986923,0.993552,1.010983,2.840208,2.586755,1.170633,0.709204,2.0522
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,300,46483,0.057492,0.021211,0.259436,0.129233,0.026288,0.956874,0.983192,0.992696,0.999758,2.774004,2.288473,1.211812,0.811885,2.0522
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,300,66253,0.076632,0.024673,0.258983,0.174410,0.035304,0.943071,0.975194,0.987449,0.973321,2.650815,1.929545,1.172006,0.905743,2.0522
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,300,35413,0.116624,0.038668,0.307000,0.223586,0.052706,0.920639,0.965359,0.980373,0.932140,2.503093,1.644957,1.088776,0.984225,2.0522
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,0-10,0.0,10.0,,300,7735,0.041352,0.027029,0.329889,0.118479,0.019691,0.961641,0.981851,0.991007,0.991198,3.184215,2.955343,0.640660,0.287747,1.5645
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,10-20,10.0,20.0,,300,25229,0.041973,0.023799,0.302074,0.110750,0.019264,0.963111,0.984135,0.993363,0.990973,3.175761,2.792782,1.014823,0.597449,1.5645
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,20-30,20.0,30.0,,300,49995,0.041192,0.017668,0.244932,0.101154,0.018156,0.968222,0.987780,0.995011,0.990336,3.176761,2.584543,1.171257,0.710057,1.5645
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,30-40,30.0,40.0,,300,92339,0.048945,0.020181,0.227460,0.115601,0.020282,0.962489,0.982515,0.993127,0.988716,3.178999,2.282323,1.211813,0.814367,1.5645
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,40-50,40.0,50.0,,300,83857,0.054780,0.020501,0.209255,0.127277,0.022160,0.959405,0.980375,0.991395,0.988887,3.180366,1.981325,1.173882,0.896788,1.5645
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,50-55,50.0,55.0,,300,2874,0.064697,0.023316,0.195287,0.150708,0.025903,0.948570,0.975129,0.987781,0.989606,3.182802,2.003817,1.050707,0.741876,1.5645
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,0-10,0.0,10.0,,300,4819,0.057039,0.034314,0.343419,0.122408,0.025967,0.961170,0.983463,0.994053,1.008430,3.205059,2.955675,0.639956,0.286752,2.1090
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,10-20,10.0,20.0,,300,15648,0.056230,0.029988,0.330833,0.116583,0.025650,0.963533,0.985213,0.994645,1.008736,3.163930,2.791850,1.014275,0.597355,2.1090
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,20-30,20.0,30.0,,300,29253,0.056163,0.025866,0.295828,0.120531,0.025550,0.964843,0.986754,0.994330,1.009544,3.121715,2.586755,1.170633,0.709204,2.1090
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,30-40,30.0,40.0,,300,46483,0.062361,0.023979,0.272852,0.144735,0.028578,0.951525,0.982406,0.992930,1.000470,3.046516,2.288473,1.211812,0.811885,2.1090
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,40-50,40.0,50.0,,300,66253,0.079499,0.026281,0.262875,0.161152,0.035229,0.942092,0.979202,0.990540,0.973637,2.909171,1.929545,1.172006,0.905743,2.1090
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,50-55,50.0,55.0,,300,35413,0.120292,0.047373,0.341978,0.251474,0.054707,0.906572,0.963339,0.979258,0.940076,2.771091,1.644957,1.088776,0.984225,2.1090
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,0-10,0.0,10.0,,300,7735,0.033332,0.025159,0.272747,0.091989,0.014535,0.978435,0.990765,0.995758,0.992872,3.319272,2.955343,0.640660,0.287747,1.6853
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,10-20,10.0,20.0,,300,25229,0.033807,0.021726,0.262289,0.091236,0.014765,0.975669,0.990109,0.995985,0.993146,3.308872,2.792782,1.014823,0.597449,1.6853
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,20-30,20.0,30.0,,300,49995,0.034836,0.020236,0.240887,0.093440,0.014915,0.974901,0.990411,0.995680,0.994481,3.314043,2.584543,1.171257,0.710057,1.6853
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,30-40,30.0,40.0,,300,92339,0.041453,0.019805,0.229291,0.105685,0.017102,0.966083,0.986338,0.994368,0.994227,3.316076,2.282323,1.211813,0.814367,1.6853
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,40-50,40.0,50.0,,300,83857,0.046660,0.018798,0.204580,0.111636,0.018811,0.963261,0.984679,0.992954,0.993900,3.320611,1.981325,1.173882,0.896788,1.6853
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,rect,theta,50-55,50.0,55.0,,300,2874,0.056173,0.020903,0.194927,0.127738,0.021906,0.957617,0.980585,0.989332,0.993250,3.319891,2.003817,1.050707,0.741876,1.6853
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,300,4938,0.064666,0.030230,0.316320,0.113487,0.028107,0.960835,0.989014,0.995555,1.004637,2.651127,2.954797,0.640788,0.287607,2.1543
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,fisheye,theta,10-20,10.0,20.0,,300,16010,0.065940,0.027926,0.303023,0.123527,0.029013,0.961575,0.987376,0.994878,1.003680,2.616059,2.792758,1.014439,0.597307,2.1543
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,300,29929,0.066860,0.024343,0.276012,0.138876,0.030090,0.959141,0.986702,0.993345,1.006691,2.566663,2.586297,1.170639,0.709415,2.1543
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,300,47583,0.079399,0.028103,0.269788,0.177430,0.036447,0.930237,0.976394,0.988944,1.000169,2.481019,2.289225,1.211798,0.811745,2.1543
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,300,67828,0.104554,0.037065,0.293824,0.265108,0.051175,0.898416,0.957831,0.976904,0.981890,2.352360,1.929725,1.171937,0.905390,2.1543
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,300,36246,0.139312,0.054253,0.361701,0.327773,0.068979,0.858453,0.943117,0.965514,0.954101,2.217502,1.644695,1.088812,0.984485,2.1543
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,rect,theta,0-10,0.0,10.0,,300,7916,0.043668,0.024253,0.295260,0.105874,0.019554,0.966725,0.986799,0.994254,0.995104,2.666173,2.956417,0.639849,0.286065,1.7344
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,rect,theta,10-20,10.0,20.0,,300,25837,0.044526,0.021395,0.271347,0.100649,0.019647,0.968871,0.988554,0.995326,0.990823,2.645216,2.792892,1.014755,0.597736,1.7344
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,rect,theta,20-30,20.0,30.0,,300,51155,0.043795,0.017223,0.229895,0.096106,0.018955,0.972309,0.990427,0.995820,0.990707,2.629228,2.584882,1.171168,0.709956,1.7344
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,rect,theta,30-40,30.0,40.0,,300,94542,0.053227,0.020970,0.240365,0.116188,0.022347,0.960987,0.985166,0.992891,0.991007,2.609383,2.282202,1.211766,0.814229,1.7344
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,rect,theta,40-50,40.0,50.0,,300,85817,0.061611,0.023856,0.266806,0.136071,0.026310,0.949985,0.980098,0.989744,0.994109,2.595345,1.979888,1.173882,0.897575,1.7344
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,rect,theta,50-55,50.0,55.0,,300,2940,0.075738,0.028988,0.268863,0.171622,0.032793,0.932043,0.970650,0.982352,0.999010,2.581207,2.012458,1.050907,0.734966,1.7344
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,synthetic,fisheye,theta,0-10,0.0,10.0,,300,4938,0.058667,0.034933,0.305507,0.102570,0.024735,0.976468,0.991607,0.996408,1.013381,3.007821,2.954797,0.640788,0.287607,2.2233
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,synthetic,fisheye,theta,10-20,10.0,20.0,,300,16010,0.061383,0.031650,0.306356,0.115119,0.026631,0.971578,0.989617,0.995390,1.014339,2.970032,2.792758,1.014439,0.597307,2.2233
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,synthetic,fisheye,theta,20-30,20.0,30.0,,300,29929,0.065201,0.029972,0.288303,0.135534,0.028777,0.962354,0.987511,0.994382,1.016983,2.921127,2.586297,1.170639,0.709415,2.2233
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,synthetic,fisheye,theta,30-40,30.0,40.0,,300,47583,0.077307,0.031556,0.281046,0.154488,0.034239,0.936580,0.976995,0.989999,1.010208,2.829855,2.289225,1.211798,0.811745,2.2233
601fcb22767e,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,synthetic,fisheye,theta,40-50,40.0,50.0,,300,67828,0.097673,0.036047,0.278270,0.199841,0.043954,0.913313,0.963956,0.982383,0.989531,2.688480,1.929725,1.171937,0.905390,2.2233
