digest,model,family,size,params_m,align,input_size,dataset,baseline,context,context_stride,AbsRel,delta1,delta2,RMSE,log10,coverage,gt_median,n_frames,n_points_total
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,nymeria,rect_derect,3.000000,10.000000,0.119786,0.882225,0.958391,0.484802,0.047369,0.989554,1.576315,200.000000,587559.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,nymeria,rect_derect,5.000000,10.000000,0.119223,0.882527,0.958509,0.484665,0.047191,0.989554,1.576315,200.000000,587559.000000
61195914f090,vggt_omega,VGGT-Omega,1B/512,1143.814185,scale_shift,512.000000,nymeria,rect_derect,10.000000,10.000000,0.118260,0.884852,0.958418,0.482156,0.046595,0.989554,1.576315,200.000000,587559.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,aea,raw,1.000000,10.000000,0.239628,0.688400,0.877604,0.756025,0.091896,1.000000,1.402200,200.000000,724894.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,aea,raw,3.000000,10.000000,0.240325,0.699091,0.870919,0.749204,0.092707,1.000000,1.402200,200.000000,724894.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,aea,raw,5.000000,10.000000,0.239444,0.705307,0.872999,0.744554,0.092274,1.000000,1.402200,200.000000,724894.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,aea,raw,10.000000,10.000000,0.239764,0.706145,0.873792,0.742608,0.092440,1.000000,1.402200,200.000000,724894.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,aea,rect_derect,1.000000,10.000000,0.234486,0.694305,0.874725,0.757017,0.090115,0.987502,1.402200,200.000000,724894.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,aea,rect_derect,3.000000,10.000000,0.228952,0.722215,0.882124,0.738691,0.087436,0.987502,1.402200,200.000000,724894.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,aea,rect_derect,5.000000,10.000000,0.226830,0.727911,0.885196,0.736636,0.086719,0.987502,1.402200,200.000000,724894.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,aea,rect_derect,10.000000,10.000000,0.227913,0.727030,0.879782,0.736050,0.087165,0.987502,1.402200,200.000000,724894.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,nymeria,raw,1.000000,10.000000,0.205071,0.721917,0.914536,0.561366,0.080417,1.000000,1.576302,200.000000,587563.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,nymeria,raw,3.000000,10.000000,0.197417,0.738776,0.916286,0.559650,0.077935,1.000000,1.576302,200.000000,587563.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,nymeria,raw,5.000000,10.000000,0.193162,0.746341,0.920147,0.556147,0.076455,1.000000,1.576302,200.000000,587563.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,nymeria,raw,10.000000,10.000000,0.191562,0.750293,0.918828,0.554150,0.076147,1.000000,1.576302,200.000000,587563.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,nymeria,rect_derect,1.000000,10.000000,0.207776,0.714409,0.904701,0.567852,0.082218,0.989563,1.576302,200.000000,587563.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,nymeria,rect_derect,3.000000,10.000000,0.196891,0.732811,0.912438,0.565072,0.078480,0.989563,1.576302,200.000000,587563.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,nymeria,rect_derect,5.000000,10.000000,0.194754,0.736538,0.914815,0.562289,0.077561,0.989563,1.576302,200.000000,587563.000000
61195914f090,da3_small,Depth-Anything-3,Small,34.299463,scale_shift,518.000000,nymeria,rect_derect,10.000000,10.000000,0.191859,0.744575,0.916683,0.556802,0.076261,0.989563,1.576302,200.000000,587563.000000
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,aea,raw,1.000000,10.000000,0.206869,0.753668,0.898583,0.717560,0.080566,1.000000,1.402200,200.000000,724894.000000
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,aea,raw,3.000000,10.000000,0.204818,0.762384,0.895379,0.715965,0.080668,1.000000,1.402200,200.000000,724894.000000
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,aea,raw,5.000000,10.000000,0.202793,0.767960,0.896151,0.715218,0.079982,1.000000,1.402200,200.000000,724894.000000
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,aea,raw,10.000000,10.000000,0.200572,0.773378,0.897976,0.711378,0.079216,1.000000,1.402200,200.000000,724894.000000
