tiling,n_patches,patch_fov,scale_spread_pct,disp_deg,align_pct,AbsRel,delta1
1,1,100.00,0.00,2.2909,24.68,0.0489,0.9714
4,16,45.28,2.99,3.1693,17.57,0.1165,0.8661
1+4,17,100.00,3.89,3.4482,16.71,0.1024,0.9442
